id,type,title,handoffSource,inHandoff,implementationStatus,coverageClass,implementedSummary,implementationArtifacts,tests,evidence,decisionIds,deviationsOrNotes,remainingGap
EPC-002,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,,,,
EPC-003,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/styles.css; src/domain.js; tests/domain.test.js",npm test,,,,
EPC-004,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js; src/styles.css",npm test,,,,
EPC-005,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,,,,
EPC-006,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js; src/styles.css",npm test,,,,
EPC-007,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,,,,
EPC-008,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,,,,
EPC-009,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js; src/storage.js; tests/storage.test.js",npm test,,,,
EPC-010,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/storage.js; tests/storage.test.js; src/domain.js; tests/domain.test.js; src/styles.css",npm test,,,,
EPC-011,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/styles.css; src/domain.js; tests/domain.test.js",npm test,,,,
EPC-012,epic,Fallback Epic,"Describe what this Epic includes, excludes, or leaves for later.",yes,implemented_by_child_stories,handoff_baseline_rollup,Fallback Epic är täckt genom att samtliga länkade story-ID:n är implementerade.,"src/app.js; src/domain.js; tests/domain.test.js; src/storage.js",npm test,,,,
US-001,story,Skapa första plånboken,"EP-001: Onboarding låter användaren ange plånboksnamn, välja mall och skapa första kontexten.",yes,implemented_first_slice,handoff_baseline_direct,Skapa första plånboken är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-001,,
US-002,story,Kräva minst en första användare,EP-001: När första plånboken skapas promptas användaren att lägga till minst en person/betalare.,yes,implemented_first_slice,handoff_baseline_direct,Kräva minst en första användare är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-001,,
US-003,story,Välja aktiv plånbok,EP-001: Kontextväljaren byter aktiv plånbok och alla vyer filtreras till den.,yes,implemented_first_slice,handoff_baseline_direct,Välja aktiv plånbok är implementerad i de listade artefakterna.,"src/app.js; src/storage.js",,Dev server responded with HTTP 200,"DEC-001; DEC-005",,
US-004,story,Konfigurera tidsfönster,EP-001: Plånbokens månader bakåt och framåt kan ändras och påverkar tidslinje/statistik.,yes,implemented_first_slice,handoff_baseline_direct,Konfigurera tidsfönster är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200","DEC-001; DEC-005",,
US-043,story,Skapa enskilt köp manuellt,"EP-006: Formulär sparar datum, bokfört datum, handlare, belopp, kategori, betalare, typ, flaggor och anteckning.",yes,implemented_first_slice,handoff_baseline_direct,Skapa enskilt köp manuellt är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-006,,
US-044,story,Redigera enskilt köp,EP-006: Köpmodalen kan ändra fält och spara utan att tappa import/koppling.,yes,implemented_first_slice,handoff_baseline_direct,Redigera enskilt köp är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-006,,
US-045,story,Importera kontoutdrag,"EP-006: CSV, XLSX och PDF kan läsas och omvandlas till köptransaktioner.",yes,implemented_first_slice,handoff_baseline_direct,Importera kontoutdrag är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; src/mastercard-import.js; tests/domain.test.js; tests/mastercard-import.test.js",npm test,"npm test; Dev server responded with HTTP 200","DEC-009; DEC-017",,
US-054,story,Markera Onödigt,EP-007: Köp/utgift kan signaleras som onödigt och räknas i signalstatistik.,yes,implemented_first_slice,handoff_baseline_direct,Markera Onödigt är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-004,,
US-005,story,Duplicera plånbok som mall,EPC-001: Appen kan skapa en ny plånbok med kopierad struktur enligt befintlig mall.,yes,implemented_first_slice,handoff_baseline_direct,Duplicera plånbok som mall är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-005,,
US-006,story,Radera plånbok säkert,"EPC-001: Radering tar bort relaterade personer, leverantörer, kategorier, utgifter, köp, filer, regler och filterreferenser.",yes,implemented_first_slice,handoff_baseline_direct,Radera plånbok säkert är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-005,,
US-007,story,Visa tomt startläge,EPC-001: Tom app visar tydlig startyta för ny plånbok eller demo/skip utan döda ytor.,yes,implemented_first_slice,handoff_baseline_direct,Visa tomt startläge är implementerad i de listade artefakterna.,"src/app.js; src/styles.css",,Dev server responded with HTTP 200,DEC-001,,
US-008,story,Skapa återkommande månadsutgift,"EPC-001: Formulär sparar namn, belopp, månad, dragningsdag, period, kategori, betalare och leverantör.",yes,implemented_first_slice,handoff_baseline_direct,Skapa återkommande månadsutgift är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-001,,
US-009,story,Skapa kvartals- och årsutgift,EPC-001: Val av kvartal/år påverkar periodiserad statistik och kassaflöde korrekt.,yes,implemented_first_slice,handoff_baseline_direct,Skapa kvartals- och årsutgift är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",,,
US-010,story,Skapa engångsperiod,EPC-001: Periodtypen engång ger belopp i aktuell period utan att återkomma.,yes,implemented_first_slice,handoff_baseline_direct,Skapa engångsperiod är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",,,
US-011,story,Spara ofullständig utgift som utkast,EPC-001: Saknas centrala fält sparas status draft och raden kan kompletteras senare.,yes,implemented_first_slice,handoff_baseline_direct,Spara ofullständig utgift som utkast är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-015,,
US-012,story,Redigera återkommande utgift,EPC-001: Redigering uppdaterar utgift och period utan att skapa dubbletter.,yes,implemented_first_slice,handoff_baseline_direct,Redigera återkommande utgift är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-002,,
US-013,story,Avsluta återkommande utgift,EPC-002: Avslut sätter slutdatum/status och tidslinjen slutar räkna framtida månader.,yes,implemented_first_slice,handoff_baseline_direct,Avsluta återkommande utgift är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-003,,
US-014,story,Ta bort återkommande utgift,EPC-002: Borttagning tar bort utgift och relaterade perioder samt kopplar loss eventuella köp.,yes,implemented_first_slice,handoff_baseline_direct,Ta bort återkommande utgift är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-002,,
US-015,story,Välja betalande person,EPC-002: Utgift kan kopplas till person och synas i personsummeringar/filter.,yes,implemented_first_slice,handoff_baseline_direct,Välja betalande person är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-001,,
US-016,story,Välja kategori,EPC-002: Utgift kan kopplas till kategori med färg/ikon och räknas i kategoriöversikter.,yes,implemented_first_slice,handoff_baseline_direct,Välja kategori är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-001,,
US-017,story,Välja eller skapa leverantör i flödet,EPC-002: Användaren kan välja befintlig leverantör eller skapa ny leverantör från utgiftsformuläret.,yes,implemented_first_slice,handoff_baseline_direct,Välja eller skapa leverantör i flödet är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-001,,
US-018,story,Ange anteckning,EPC-002: Anteckning lagras på utgift och visas i detalj.,yes,implemented_first_slice,handoff_baseline_direct,Ange anteckning är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,,,
US-019,story,Bifoga underlag på utgift,EPC-002: Tillåtna filtyper kan bifogas och visas i utgiftsdetaljen.,yes,implemented_first_slice,handoff_baseline_direct,Bifoga underlag på utgift är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-015,,
US-020,story,Visa återkommande tidslinje,EPC-002: Desktop visar utgifter som rader och månader som kolumner med belopp/aktivitet.,yes,implemented_first_slice,handoff_baseline_direct,Visa återkommande tidslinje är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200","DEC-001; DEC-003",,
US-021,story,Visa mobil översikt,"EPC-003: Mobilvy visar kompakta kort, månadsrader och expanderbara detaljer.",yes,implemented_first_slice,handoff_baseline_direct,Visa mobil översikt är implementerad i de listade artefakterna.,"src/app.js; src/styles.css",,Dev server responded with HTTP 200,,,
US-022,story,Visa månadstotaler,EPC-003: Månadsrubriker eller sammanfattningar visar totals för vald period.,yes,implemented_first_slice,handoff_baseline_direct,Visa månadstotaler är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-001,,
US-023,story,Filtrera på kategori,"EPC-003: Kategorifilter påverkar tidslinje, översikt och relevanta summeringar.",yes,implemented_first_slice,handoff_baseline_direct,Filtrera på kategori är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,,,
US-024,story,Filtrera på betalare,EPC-003: Betalarfilter visar endast matchande utgifter/köp där relevant.,yes,implemented_first_slice,handoff_baseline_direct,Filtrera på betalare är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,,,
US-025,story,Filtrera på signal,EPC-003: Signalfilter påverkar köp/översikt och släcks visuellt när det avmarkeras.,yes,implemented_first_slice,handoff_baseline_direct,Filtrera på signal är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-004,,
US-026,story,Söka i utgifter och köp,"EPC-003: Sök matchar namn, leverantör, handlare, kategori och relaterad text.",yes,implemented_first_slice,handoff_baseline_direct,Söka i utgifter och köp är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-001,,
US-027,story,Dölja historiska månader,EPC-003: Toggle tar bort tidigare månader från tidslinjens fokus.,yes,implemented_first_slice,handoff_baseline_direct,Dölja historiska månader är implementerad i de listade artefakterna.,src/app.js,,Dev server responded with HTTP 200,,,
US-028,story,Öppna detaljdrawer från tidslinje,"EPC-003: Klick på rad/cell öppnar detalj med redigera, avsluta, ta bort och filhantering.",yes,implemented_first_slice,handoff_baseline_direct,Öppna detaljdrawer från tidslinje är implementerad i de listade artefakterna.,"src/app.js; src/styles.css",,Dev server responded with HTTP 200,,,
US-029,story,Snabbregistrera från global action,"EPC-004: Quick action erbjuder återkommande utgift, enskilt köp och import.",yes,implemented_first_slice,handoff_baseline_direct,Snabbregistrera från global action är implementerad i de listade artefakterna.,src/app.js,,Dev server responded with HTTP 200,DEC-001,,
US-030,story,Ange uppsägningstid,EPC-004: Utgift kan ha uppsägningstid i dagar eller månader.,yes,implemented_first_slice,handoff_baseline_direct,Ange uppsägningstid är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-001,,
US-031,story,Beräkna tidigaste kostnadsfria månad,EPC-004: Appen beräknar första månad utan kostnad baserat på dagens datum och uppsägningstid.,yes,implemented_first_slice,handoff_baseline_direct,Beräkna tidigaste kostnadsfria månad är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-001,,
US-032,story,Visa låst period,EPC-004: Månader som inte kan frigöras än markeras låsta.,yes,implemented_first_slice,handoff_baseline_direct,Visa låst period är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200","DEC-001; DEC-003",,
US-064,story,Visa återkommande analys,"EPC-004: Statistik visar periodiserad period, månadssnitt, årstakt och signalmix.",yes,implemented_first_slice,handoff_baseline_direct,Visa återkommande analys är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-001,,
US-033,story,Skapa uppsägningspåminnelse,EPC-004: Relevant påminnelse skapas kopplat till utgift och kan markeras klar.,yes,implemented_first_slice,handoff_baseline_direct,Skapa uppsägningspåminnelse är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-012,,
US-034,story,Exportera påminnelser till kalender,EPC-004: Appen kan exportera .ics för påminnelser.,yes,implemented_first_slice,handoff_baseline_direct,Exportera påminnelser till kalender är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-012,,
US-035,story,Visa saknad uppsägningsinformation,EPC-004: Poster utan uppsägningsdata eller instruktion kan flaggas som förbättringskandidater.,yes,implemented_first_slice,handoff_baseline_direct,Visa saknad uppsägningsinformation är implementerad i de listade artefakterna.,"src/app.js; src/styles.css",,Dev server responded with HTTP 200,DEC-003,,
US-036,story,Skapa och redigera person,"EPC-005: Register låter användaren skapa, ändra och inaktivera personer.",yes,implemented_first_slice,handoff_baseline_direct,Skapa och redigera person är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-005,,
US-037,story,Ange månadsbudget per person,EPC-005: Person kan ha disponibel månadsinkomst/budget som används i statistik.,yes,implemented_first_slice,handoff_baseline_direct,Ange månadsbudget per person är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-005,,
US-038,story,Skapa och redigera leverantör,"EPC-005: Register hanterar namn, typ, ikon, färg, kontaktinfo och notes.",yes,implemented_first_slice,handoff_baseline_direct,Skapa och redigera leverantör är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-005,,
US-039,story,Spara uppsägningsinstruktion för leverantör,EPC-005: Leverantör kan bära instruktion som visas vid relevant utgift.,yes,implemented_first_slice,handoff_baseline_direct,Spara uppsägningsinstruktion för leverantör är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-005,,
US-040,story,Skapa och redigera kategori,"EPC-005: Kategori har namn, ikon och färg och används i utgifter/köp.",yes,implemented_first_slice,handoff_baseline_direct,Skapa och redigera kategori är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-005,,
US-041,story,Skapa standardregister i ny plånbok,EPC-005: Ny state berikas med vanliga leverantörer och standardkategorier utan att radera användardata.,yes,implemented_first_slice,handoff_baseline_direct,Skapa standardregister i ny plånbok är implementerad i de listade artefakterna.,"src/domain.js; src/app.js",,Dev server responded with HTTP 200,DEC-005,,
US-042,story,Skapa handlare/kategoriregel,EPC-005: Appen sparar mönster för handlare och kan återanvända kategori/leverantör.,yes,implemented_first_slice,handoff_baseline_direct,Skapa handlare/kategoriregel är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-015,,
US-046,story,Förhandsgranska import,"EPC-005: Appen visar antal köp, totalsumma, ignorerade rader och radlista före importcommit.",yes,implemented_first_slice,handoff_baseline_direct,Förhandsgranska import är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200","DEC-009; DEC-017",,
US-047,story,Deduplicera importerade köp,"EPC-006: Fingerprint på datum, bokfört datum, belopp och handlare används för att hoppa över dubbletter.",yes,implemented_first_slice,handoff_baseline_direct,Deduplicera importerade köp är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200","DEC-009; DEC-017",,
US-048,story,Högerjustera belopp i import på mobil,EPC-006: Mobil importlista lägger belopp på egen/högerjusterad yta utan överlapp.,yes,implemented_first_slice,handoff_baseline_direct,Högerjustera belopp i import på mobil är implementerad i de listade artefakterna.,"src/app.js; src/styles.css",,Dev server responded with HTTP 200,,,
US-049,story,Koppla köp till betalare,EPC-006: Importerade/manuella köp får defaultbetalare och kan ändras.,yes,implemented_first_slice,handoff_baseline_direct,Koppla köp till betalare är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-006,,
US-050,story,Koppla köp till leverantör,EPC-006: Köp kan välja leverantör eller föreslå ny leverantör från handlare.,yes,implemented_first_slice,handoff_baseline_direct,Koppla köp till leverantör är implementerad i de listade artefakterna.,"src/app.js; src/domain.js",,Dev server responded with HTTP 200,DEC-006,,
US-051,story,Uppdatera kategori för samma handlare,EPC-006: Vid köpredigering kan användaren applicera kategori på alla köp från samma handlare utan tung boxad UI.,yes,implemented_first_slice,handoff_baseline_direct,Uppdatera kategori för samma handlare är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-015,,
US-052,story,Lista och filtrera köp,"EPC-006: Inköpsvyn visar köpradar, sök, lista, signaler och redigering.",yes,implemented_first_slice,handoff_baseline_direct,Lista och filtrera köp är implementerad i de listade artefakterna.,"src/app.js; src/domain.js; tests/domain.test.js",npm test,"npm test; Dev server responded with HTTP 200",DEC-006,,
